"site","occ1","occ2","occ3","occ4","occ5","occ6","occ7","occ8","occ9","occ10","occ11","occ12","occ13","dur.1","dur.2","dur.3","dur.4","dur.5","dur.6","dur.7","dur.8","dur.9","dur.10","dur.11","dur.12","dur.13","time.1","time.2","time.3","time.4","time.5","time.6","time.7","time.8","time.9","time.10","time.11","time.12","time.13","nobs.1","nobs.2","nobs.3","nobs.4","nobs.5","nobs.6","nobs.7","nobs.8","nobs.9","nobs.10","nobs.11","nobs.12","nobs.13","distRoad","jday.1","jday.2","jday.3","jday.4","jday.5","jday.6","jday.7","jday.8","jday.9","jday.10","jday.11","jday.12","jday.13","year.1","year.2","year.3","year.4","year.5","year.6","year.7","year.8","year.9","year.10","year.11","year.12","year.13","temp","precp","barren","crop","decBroad","mixed","evBroad","herb","shrub","elev","tpi","tri","X","Y","species","resolution"
1,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2.38589262962341,NA,NA,NA,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,17.6582164764404,0,95.6719741821289,0,0,0,0,0,3.93566679954529,254.338577270508,0.33232718706131,38.2729301452637,-1035.73955761392,1015.01067695222,"AustralPygmyOwl",25
2,0,0,NA,0,0,0,0,0,0,0,0,0,0,60,30,NA,60,240,60,90,120,240,15,25,95,45,0,9,NA,7,8,15,8,17,14,11,15,17,18,3,2,NA,2,5,1,1,4,2,1,1,1,1,2.38589262962341,306,11,NA,36,6,268,344,291,332,286,347,250,278,1,2,NA,4,5,6,7,8,9,10,11,12,13,17.6582164764404,0,95.6719741821289,0,0,0,0,0,3.93566679954529,254.338577270508,0.33232718706131,38.2729301452637,-1010.73955761392,1015.01067695222,"AustralPygmyOwl",25
4,NA,0,NA,0,0,NA,0,0,0,0,0,0,0,NA,120,NA,230,150,NA,165,1,128,180,30,60,170,NA,6,NA,10,9,NA,14,6,9,7,0,11,15,NA,2,NA,1,2,NA,1,1,2,2,1,1,2,2.38589262962341,NA,344,NA,306,54,NA,252,21,279,301,289,244,310,NA,2,NA,4,5,NA,7,8,9,10,11,12,13,17.6582164764404,0,95.6719741821289,0,0,0,0,0,3.93566679954529,254.338577270508,0.33232718706131,38.2729301452637,-1010.73955761392,990.01067695222,"AustralPygmyOwl",25
5,NA,NA,NA,0,NA,0,NA,NA,0,0,0,0,0,NA,NA,NA,120,NA,195,NA,NA,30,120,120,180,180,NA,NA,NA,17,NA,9,NA,NA,15,7,11,8,8,NA,NA,NA,2,NA,10,NA,NA,2,2,2,2,2,3.71068453788757,NA,NA,NA,287,NA,304,NA,NA,277,364,8,336,299,NA,NA,NA,4,NA,6,NA,NA,9,10,11,12,13,17.0815143585205,0,89.8477630615234,0,0,0,0,0.0600577555596828,8.7285041809082,327.852783203125,-0.178714200854301,38.8556747436523,-1035.73955761392,965.01067695222,"AustralPygmyOwl",25
6,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,30,10,150,195,180,220,275,65,150,65,NA,NA,NA,10,18,10,12,9,7,10,10,14,9,NA,NA,NA,2,1,9,6,2,2,1,1,1,1,3.71068453788757,NA,NA,NA,302,328,291,268,259,271,314,340,262,286,NA,NA,NA,4,5,6,7,8,9,10,11,12,13,17.0815143585205,0,89.8477630615234,0,0,0,0,0.0600577555596828,8.7285041809082,327.852783203125,-0.178714200854301,38.8556747436523,-1010.73955761392,965.01067695222,"AustralPygmyOwl",25
8,0,0,0,0,0,0,0,0,0,0,0,0,0,2,150,170,145,75,50,40,31,22,25,15,42,15,16,9,9,10,10,19,10,15,16,14,19,12,17,1,1,1,1,1,1,1,1,2,5,1,1,1,3.71068453788757,293,338,315,300,354,295,303,246,279,292,268,346,281,1,2,3,4,5,6,7,8,9,10,11,12,13,17.0815143585205,0,89.8477630615234,0,0,0,0,0.0600577555596828,8.7285041809082,327.852783203125,-0.178714200854301,38.8556747436523,-1010.73955761392,940.01067695222,"AustralPygmyOwl",25
9,NA,NA,NA,NA,NA,0,0,NA,0,0,0,0,0,NA,NA,NA,NA,NA,60,20,NA,30,75,15,12,16,NA,NA,NA,NA,NA,13,15,NA,14,13,12,11,13,NA,NA,NA,NA,NA,2,2,NA,1,1,1,1,1,12.5756006240845,NA,NA,NA,NA,NA,329,301,NA,252,342,286,8,29,NA,NA,NA,NA,NA,6,7,NA,9,10,11,12,13,16.7455596923828,0,71.0543823242188,0,0,0.0168949160724878,0.0149070657789707,0.42776283621788,7.25863075256348,422.468505859375,0.391794294118881,41.6272125244141,-1010.73955761392,915.01067695222,"AustralPygmyOwl",25
10,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,20,25,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,11,9,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,3,1,NA,NA,NA,NA,NA,1,NA,14.4582757949829,NA,NA,NA,NA,325,40,NA,NA,NA,NA,NA,17,NA,NA,NA,NA,NA,5,6,NA,NA,NA,NA,NA,12,NA,15.943076133728,0,68.0866165161133,0,0,0,0.051513560116291,0.761966466903687,15.7926778793335,825.162963867188,0.445141911506653,65.6243667602539,-1010.73955761392,890.01067695222,"AustralPygmyOwl",25
11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,5.24464750289917,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,300,NA,338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,13,5.98337078094482,84.9054641723633,77.561637878418,0.128429055213928,0,1.5929297208786,0,1.15347969532013,19.2761001586914,4248.39501953125,-1.4661750793457,65.6803359985352,-635.73955761392,890.01067695222,"AustralPygmyOwl",25
14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,28,130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,17,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,3.38625025749207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,59,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,12,13,15.6339588165283,0,64.2940139770508,0,0,0.0837007910013199,0.0480610765516758,0.737341701984406,22.6664981842041,982.241394042969,0.345450878143311,72.2793807983398,-1010.73955761392,865.01067695222,"AustralPygmyOwl",25
