site,dummy,distRoad,occ,temp,precp,barren,crop,decBroad,mixed,evBroad,herb,shrub,elev,tpi,X,Y,species,resolution
1,0,1.751516938,0,17.91574478,0,81.09762573,0.062967874,0.000000000,0,0.075356312,0.161947608,0.438551515,134.3644562,1.228270769,-1030.739558,1015.010677,RufousLeggedOwl,15
2,1,1.751516938,0,17.91574478,0,81.09762573,0.062967874,0.000000000,0,0.075356312,0.161947608,0.438551515,134.3644562,1.228270769,-1015.739558,1015.010677,RufousLeggedOwl,15
3,1,1.751516938,0,17.91574478,0,81.09762573,0.062967874,0.000000000,0,0.075356312,0.161947608,0.438551515,134.3644562,1.228270769,-1000.739558,1015.010677,RufousLeggedOwl,15
4,1,1.751516938,0,17.91574478,0,81.09762573,0.062967874,0.000000000,0,0.075356312,0.161947608,0.438551515,134.3644562,1.228270769,-1030.739558,1000.010677,RufousLeggedOwl,15
5,1,1.751516938,0,17.91574478,0,81.09762573,0.062967874,0.000000000,0,0.075356312,0.161947608,0.438551515,134.3644562,1.228270769,-1015.739558,1000.010677,RufousLeggedOwl,15
6,1,1.751516938,0,17.91574478,0,81.09762573,0.062967874,0.000000000,0,0.075356312,0.161947608,0.438551515,134.3644562,1.228270769,-1000.739558,1000.010677,RufousLeggedOwl,15
7,0,2.318159819,0,17.67634392,0,99.47859192,0,0.000000000,0,0,0,0.521405399,189.8704224,1.110118866,-1030.739558,985.010677,RufousLeggedOwl,15
8,0,2.318159819,0,17.67634392,0,99.47859192,0,0.000000000,0,0,0,0.521405399,189.8704224,1.110118866,-1015.739558,985.010677,RufousLeggedOwl,15
9,0,2.318159819,0,17.67634392,0,99.47859192,0,0.000000000,0,0,0,0.521405399,189.8704224,1.110118866,-1000.739558,985.010677,RufousLeggedOwl,15
10,1,3.201499939,0,17.3223896,0,98.14243317,0,0.000000000,0,0,0,1.791569233,208.6659698,0.406550109,-1030.739558,970.010677,RufousLeggedOwl,15
11,0,3.201499939,0,17.3223896,0,98.14243317,0,0.000000000,0,0,0,1.791569233,208.6659698,0.406550109,-1015.739558,970.010677,RufousLeggedOwl,15
12,0,3.201499939,0,17.3223896,0,98.14243317,0,0.000000000,0,0,0,1.791569233,208.6659698,0.406550109,-1000.739558,970.010677,RufousLeggedOwl,15
