site,occ.1,occ.2,occ.3,occ.4,occ.5,occ.6,occ.7,occ.8,occ.9,occ.10,occ.11,occ.12,occ.13,dur.1,dur.2,dur.3,dur.4,dur.5,dur.6,dur.7,dur.8,dur.9,dur.10,dur.11,dur.12,dur.13,time.1,time.2,time.3,time.4,time.5,time.6,time.7,time.8,time.9,time.10,time.11,time.12,time.13,nobs.1,nobs.2,nobs.3,nobs.4,nobs.5,nobs.6,nobs.7,nobs.8,nobs.9,nobs.10,nobs.11,nobs.12,nobs.13,distRoad,jday.1,jday.2,jday.3,jday.4,jday.5,jday.6,jday.7,jday.8,jday.9,jday.10,jday.11,jday.12,jday.13,year.1,year.2,year.3,year.4,year.5,year.6,year.7,year.8,year.9,year.10,year.11,year.12,year.13,temp,precp,barren,crop,decBroad,mixed,evBroad,herb,shrub,elev,tpi,X,Y,species,resolution
2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,140,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,1.751516938,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,306,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,11,NA,NA,17.91574478,0,81.09762573,0.062967874,0.000000000,0,0.075356312,0.161947608,0.438551515,134.3644562,1.228270769,-1015.739558,1015.010677,RufousTailedHawk,15
3,0,NA,NA,0,0,NA,NA,0,0,0,0,0,0,60,NA,NA,60,240,NA,NA,120,240,120,120,240,180,0,NA,NA,7,8,NA,NA,17,14,10,7,8,8,3,NA,NA,2,5,NA,NA,4,2,2,2,2,2,1.751516938,306,NA,NA,36,6,NA,NA,291,332,302,259,257,333,1,NA,NA,4,5,NA,NA,8,9,10,11,12,13,17.91574478,0,81.09762573,0.062967874,0.000000000,0,0.075356312,0.161947608,0.438551515,134.3644562,1.228270769,-1000.739558,1015.010677,RufousTailedHawk,15
4,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1.751516938,NA,NA,NA,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,17.91574478,0,81.09762573,0.062967874,0.000000000,0,0.075356312,0.161947608,0.438551515,134.3644562,1.228270769,-1030.739558,1000.010677,RufousTailedHawk,15
5,NA,0,NA,0,0,0,0,0,0,0,0,0,0,NA,120,NA,230,150,60,165,30,120,15,25,60,170,NA,6,NA,10,9,15,14,14,8,11,15,11,15,NA,2,NA,1,2,1,1,1,2,1,1,1,2,1.751516938,NA,344,NA,306,54,268,252,313,248,286,347,244,310,NA,2,NA,4,5,6,7,8,9,10,11,12,13,17.91574478,0,81.09762573,0.062967874,0.000000000,0,0.075356312,0.161947608,0.438551515,134.3644562,1.228270769,-1015.739558,1000.010677,RufousTailedHawk,15
6,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,170,180,NA,120,50,NA,NA,NA,NA,NA,NA,NA,NA,7,7,NA,8,7,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,2,2,1.751516938,NA,NA,NA,NA,NA,NA,NA,NA,286,280,NA,302,255,NA,NA,NA,NA,NA,NA,NA,NA,9,10,NA,12,13,17.91574478,0,81.09762573,0.062967874,0.000000000,0,0.075356312,0.161947608,0.438551515,134.3644562,1.228270769,-1000.739558,1000.010677,RufousTailedHawk,15
10,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,120,NA,180,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2,2,3.201499939,NA,NA,NA,NA,NA,NA,NA,NA,NA,364,NA,336,299,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,12,13,17.3223896,0,98.14243317,0,0.000000000,0,0,0,1.791569233,208.6659698,0.406550109,-1030.739558,970.010677,RufousTailedHawk,15
13,NA,NA,NA,0,NA,0,NA,NA,0,0,0,NA,0,NA,NA,NA,120,NA,195,NA,NA,30,30,120,NA,45,NA,NA,NA,17,NA,9,NA,NA,15,13,11,NA,9,NA,NA,NA,2,NA,10,NA,NA,2,2,2,NA,1,3.201499939,NA,NA,NA,287,NA,304,NA,NA,277,261,8,NA,57,NA,NA,NA,4,NA,6,NA,NA,9,10,11,NA,13,17.3223896,0,98.14243317,0,0.000000000,0,0,0,1.791569233,208.6659698,0.406550109,-1030.739558,955.010677,RufousTailedHawk,15
14,NA,NA,NA,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,30,10,NA,NA,30,220,180,65,150,65,NA,NA,NA,10,18,NA,NA,10,7,11,10,14,9,NA,NA,NA,2,1,NA,NA,2,2,1,1,1,1,3.201499939,NA,NA,NA,302,328,NA,NA,11,271,250,340,262,286,NA,NA,NA,4,5,NA,NA,8,9,10,11,12,13,17.3223896,0,98.14243317,0,0.000000000,0,0,0,1.791569233,208.6659698,0.406550109,-1015.739558,955.010677,RufousTailedHawk,15
15,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,5,30,185,75,150,210,30,20,25,36,100,44,NA,8,10,9,10,10,9,12,10,14,9,8,11,NA,1,1,2,1,9,1,1,1,5,2,1,1,3.201499939,NA,342,48,250,354,291,360,331,307,292,45,1,283,NA,2,3,4,5,6,7,8,9,10,11,12,13,17.3223896,0,98.14243317,0,0.000000000,0,0,0,1.791569233,208.6659698,0.406550109,-1000.739558,955.010677,RufousTailedHawk,15
17,0,0,0,0,0,0,0,0,0,0,0,0,0,2,150,170,145,55,50,40,31,22,5,35,42,15,16,9,9,10,12,19,10,15,16,20,18,12,17,1,1,1,1,1,1,1,1,2,2,1,1,1,3.201499939,293,338,315,300,249,295,303,246,279,301,278,346,281,1,2,3,4,5,6,7,8,9,10,11,12,13,17.3223896,0,98.14243317,0,0.000000000,0,0,0,1.791569233,208.6659698,0.406550109,-1000.739558,940.010677,RufousTailedHawk,15
