site,occ.1,occ.2,occ.3,occ.4,occ.5,occ.6,occ.7,occ.8,occ.9,occ.10,occ.11,occ.12,occ.13,dur.1,dur.2,dur.3,dur.4,dur.5,dur.6,dur.7,dur.8,dur.9,dur.10,dur.11,dur.12,dur.13,time.1,time.2,time.3,time.4,time.5,time.6,time.7,time.8,time.9,time.10,time.11,time.12,time.13,nobs.1,nobs.2,nobs.3,nobs.4,nobs.5,nobs.6,nobs.7,nobs.8,nobs.9,nobs.10,nobs.11,nobs.12,nobs.13,distRoad,jday.1,jday.2,jday.3,jday.4,jday.5,jday.6,jday.7,jday.8,jday.9,jday.10,jday.11,jday.12,jday.13,year.1,year.2,year.3,year.4,year.5,year.6,year.7,year.8,year.9,year.10,year.11,year.12,year.13,temp,precp,barren,crop,decBroad,mixed,herb,shrub,elev,tpi,tri,X,Y,species,resolution
1,NA,NA,NA,NA,0,NA,NA,0,NA,0,NA,0,0,NA,NA,NA,NA,60,NA,NA,30,NA,291,NA,60,180,NA,NA,NA,NA,13,NA,NA,8,NA,9,NA,11,7,NA,NA,NA,NA,4,NA,NA,4,NA,5,NA,1,1,3.405972958,NA,NA,NA,NA,3,NA,NA,342,NA,312,NA,41,36,NA,NA,NA,NA,5,NA,NA,8,NA,10,NA,12,13,14.53453255,5.031696796,4.944834232,26.1998291,1.009029388,7.511126041,11.31445026,46.84309769,692.5888062,-1.776929021,105.6125259,-1003.239558,-137.489323,WhiteTroatedCaracara,20
2,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,180,60,240,180,300,90,120,240,90,120,90,38,NA,8,11,8,9,11,10,11,8,9,10,15,15,NA,4,3,4,10,3,2,8,4,4,1,2,1,3.405972958,NA,309,266,307,320,319,254,328,344,364,246,331,251,NA,2,3,4,5,6,7,8,9,10,11,12,13,14.53453255,5.031696796,4.944834232,26.1998291,1.009029388,7.511126041,11.31445026,46.84309769,692.5888062,-1.776929021,105.6125259,-983.2395576,-137.489323,WhiteTroatedCaracara,20
3,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,60,93,60,90,218,104,240,12,16,25,NA,NA,NA,10,10,12,12,14,16,16,11,10,9,NA,NA,NA,2,2,1,4,2,1,4,1,1,1,2.951918125,NA,NA,NA,293,304,304,297,266,286,277,280,253,295,NA,NA,NA,4,5,6,7,8,9,10,11,12,13,14.43277645,10.93662643,9.372426033,14.44706535,0.104449488,10.55331135,3.767583132,60.26877975,1027.745117,1.700477242,94.86845398,-963.2395576,-137.489323,WhiteTroatedCaracara,20
6,0,0,0,0,0,0,0,0,0,0,0,0,0,90,45,90,180,60,270,180,5,150,10,150,40,76,21,14,17,11,10,8,14,16,15,12,9,7,12,2,2,5,4,1,3,1,4,2,1,1,1,1,2.693290472,304,48,262,292,255,309,304,282,273,291,304,299,245,1,2,3,4,5,6,7,8,9,10,11,12,13,14.45477962,4.401609421,3.283248901,22.60594749,0.452267259,8.958018303,21.36993217,35.39115524,460.3533325,-1.026677728,96.68972778,-1003.239558,-157.489323,WhiteTroatedCaracara,20
7,0,0,0,NA,0,0,0,0,0,0,0,0,0,240,120,5,NA,90,1,180,31,13,5,180,2,235,14,15,15,NA,19,15,10,19,18,10,9,13,9,1,3,1,NA,2,1,1,1,1,1,1,1,1,2.438701868,288,310,52,NA,273,291,263,365,259,300,249,342,317,1,2,3,NA,5,6,7,8,9,10,11,12,13,13.23967361,9.459373474,2.079032421,19.27079582,0.317575753,9.748596191,17.7374649,47.83523178,1024.687866,1.324906945,122.3992844,-983.2395576,-157.489323,WhiteTroatedCaracara,20
8,NA,0,0,0,NA,0,0,0,0,0,0,0,0,NA,160,30,40,NA,22,10,60,60,120,20,30,3,NA,17,18,18,NA,9,9,11,9,13,12,9,7,NA,2,1,2,NA,1,4,4,1,2,3,1,1,10.57205391,NA,266,288,306,NA,279,16,269,299,272,58,246,286,NA,2,3,4,NA,6,7,8,9,10,11,12,13,9.876599312,15.77106285,19.69693375,0.864776909,0.006273995,10.17391682,4.42140913,64.63037109,1861.829468,-0.732836485,127.4361191,-963.2395576,-157.489323,WhiteTroatedCaracara,20
9,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,10.57205391,NA,NA,NA,NA,NA,301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,9.876599312,15.77106285,19.69693375,0.864776909,0.006273995,10.17391682,4.42140913,64.63037109,1861.829468,-0.732836485,127.4361191,-943.2395576,-157.489323,WhiteTroatedCaracara,20
11,NA,NA,NA,NA,0,NA,0,0,NA,0,NA,0,NA,NA,NA,NA,NA,50,NA,15,270,NA,84,NA,10,NA,NA,NA,NA,NA,13,NA,12,17,NA,8,NA,0,NA,NA,NA,NA,NA,2,NA,1,1,NA,2,NA,1,NA,4.630579948,NA,NA,NA,NA,270,NA,305,314,NA,293,NA,339,NA,NA,NA,NA,NA,5,NA,7,8,NA,10,NA,12,NA,12.7647934,9.992760658,2.420305729,16.36040878,0.256955028,8.400332451,20.58117104,45.27177429,1070.101929,-0.330278158,151.6693878,-1003.239558,-177.489323,WhiteTroatedCaracara,20
12,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,180,240,20,300,10,180,119,7,3,30,NA,NA,NA,8,8,17,9,3,10,4,8,10,10,NA,NA,NA,3,2,6,2,1,1,1,1,1,1,4.630579948,NA,NA,NA,319,298,31,295,318,272,353,352,13,267,NA,NA,NA,4,5,6,7,8,9,10,11,12,13,12.7647934,9.992760658,2.420305729,16.36040878,0.256955028,8.400332451,20.58117104,45.27177429,1070.101929,-0.330278158,151.6693878,-983.2395576,-177.489323,WhiteTroatedCaracara,20
13,NA,0,NA,0,NA,0,NA,0,0,NA,0,0,0,NA,5,NA,90,NA,240,NA,300,10,NA,10,30,57,NA,13,NA,11,NA,7,NA,14,12,NA,17,17,11,NA,1,NA,1,NA,1,NA,8,1,NA,1,2,1,7.420579433,NA,274,NA,285,NA,24,NA,301,305,NA,288,318,359,NA,2,NA,4,NA,6,NA,8,9,NA,11,12,13,12.05220032,14.62827206,6.708458424,4.97106123,0.063985579,11.59487247,6.06696558,69.07530975,1400.848145,1.319715261,113.3842468,-963.2395576,-177.489323,WhiteTroatedCaracara,20
14,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,240,180,60,10,60,300,15,30,45,15,120,183,NA,10,13,18,8,17,16,19,12,16,16,8,9,NA,2,4,1,2,2,2,1,4,2,1,1,1,7.420579433,NA,337,260,361,41,248,337,304,306,300,333,262,304,NA,2,3,4,5,6,7,8,9,10,11,12,13,12.05220032,14.62827206,6.708458424,4.97106123,0.063985579,11.59487247,6.06696558,69.07530975,1400.848145,1.319715261,113.3842468,-943.2395576,-177.489323,WhiteTroatedCaracara,20
15,0,0,0,0,0,0,0,0,0,0,0,0,0,40,25,90,180,60,60,90,12,145,300,30,20,42,11,14,12,9,12,0,11,17,12,10,16,11,8,3,3,1,1,3,1,3,1,1,3,2,1,2,6.96293211,304,322,245,286,298,277,365,365,361,292,286,296,315,1,2,3,4,5,6,7,8,9,10,11,12,13,7.887134552,18.48451424,28.56367493,0.50582391,0,10.10179043,8.304483414,51.56028366,2220.651123,3.761668444,161.872467,-923.2395576,-177.489323,WhiteTroatedCaracara,20
16,NA,0,NA,0,0,NA,0,NA,NA,NA,0,NA,NA,NA,300,NA,120,240,NA,1,NA,NA,NA,60,NA,NA,NA,9,NA,12,9,NA,20,NA,NA,NA,15,NA,NA,NA,1,NA,1,1,NA,3,NA,NA,NA,3,NA,NA,5.378419876,NA,303,NA,294,319,NA,318,NA,NA,NA,282,NA,NA,NA,2,NA,4,5,NA,7,NA,NA,NA,11,NA,NA,3.561583757,20.23242378,58.55515671,0.017583601,0,3.936258554,3.110756397,34.0578537,2857.018066,-3.953635454,254.436264,-903.2395576,-177.489323,WhiteTroatedCaracara,20
17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2.327642918,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,342,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,13.45685005,83.27354431,4.552893162,11.33927059,0.926465392,11.9161768,2.723006964,66.55580902,1199.223145,-0.825612664,18.75578499,-823.2395576,-177.489323,WhiteTroatedCaracara,20
19,NA,NA,0,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,60,NA,NA,NA,NA,NA,3,120,47,65,158,NA,NA,8,NA,NA,NA,NA,NA,17,7,13,16,12,NA,NA,2,NA,NA,NA,NA,NA,1,2,2,1,1,4.204880714,NA,NA,39,NA,NA,NA,NA,NA,287,364,19,269,281,NA,NA,3,NA,NA,NA,NA,NA,9,10,11,12,13,14.33055687,8.623353958,2.879735947,25.13171768,0.305698901,10.94087029,17.61881065,36.921875,659.5699463,1.652975917,115.005806,-983.2395576,-197.489323,WhiteTroatedCaracara,20
20,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,60,10,300,10,6,40,1,NA,NA,NA,NA,NA,NA,13,11,9,11,19,15,12,NA,NA,NA,NA,NA,NA,1,1,6,1,1,1,1,2.860208511,NA,NA,NA,NA,NA,NA,263,356,262,291,320,287,307,NA,NA,NA,NA,NA,NA,7,8,9,10,11,12,13,14.38617611,11.80311394,2.911898613,4.300477982,0.072018154,4.347761631,5.361870289,30.5018177,842.4816895,-3.040747166,66.60335541,-963.2395576,-197.489323,WhiteTroatedCaracara,20
21,0,0,0,0,0,0,0,0,0,0,0,0,0,30,120,40,30,60,10,15,4,300,16,94,6,2,9,8,2,9,7,9,16,13,12,11,18,19,13,1,3,1,1,1,2,1,1,1,1,1,1,1,2.860208511,270,271,255,276,287,295,297,332,315,284,337,335,352,1,2,3,4,5,6,7,8,9,10,11,12,13,14.38617611,11.80311394,2.911898613,4.300477982,0.072018154,4.347761631,5.361870289,30.5018177,842.4816895,-3.040747166,66.60335541,-943.2395576,-197.489323,WhiteTroatedCaracara,20
22,0,0,0,0,0,0,0,0,0,0,0,0,0,80,40,180,300,180,300,60,120,13,49,120,108,60,12,13,12,10,9,8,13,11,10,13,8,9,17,3,3,1,6,3,2,3,1,1,1,1,1,1,6.96293211,304,322,315,307,298,319,365,313,276,290,343,274,294,1,2,3,4,5,6,7,8,9,10,11,12,13,7.887134552,18.48451424,28.56367493,0.50582391,0,10.10179043,8.304483414,51.56028366,2220.651123,3.761668444,161.872467,-923.2395576,-197.489323,WhiteTroatedCaracara,20
